instruction,emotion
"Mach dir keine Sorgen, das passt schon.",Beruhigung
"Halte durch, das sieht schon super aus!",Motivation
"Sei vorsichtig, die Pfanne ist heiß.",Warnung
"Herzlichen Glückwunsch, das ist wirklich gelungen!",Freude
"Nicht aufgeben, du schaffst das!",Motivation
"Super, der komplizierteste Part ist geschafft.",Erleichterung
Ab jetzt geht es entspannt weiter.,Erleichterung
Du machst das großartig!,Freude
"Genial, das hast du super hinbekommen!",Freude
"Großartig, nur noch ein paar Schritte!",Motivation
"Bleib dran, das Ergebnis wird es wert sein!",Motivation
"Großartig, nur noch ein paar Schritte!",Motivation
"Es ist fast geschafft, weitermachen!",Motivation
Schneide die Zwiebeln fein.,Neutral
"Das ist schon in Ordnung, mach einfach weiter.",Beruhigung
"Achte darauf, dass das Öl nicht zu heiß wird.",Warnung
"Super, der komplizierteste Part ist geschafft.",Erleichterung
"Großartig, nur noch ein paar Schritte!",Motivation
Zum Glück ist der schwerste Schritt vorbei.,Erleichterung
"Puh, das war der anspruchsvollste Schritt!",Erleichterung
Jetzt nur noch die letzten Schritte.,Erleichterung
"Super, der komplizierteste Part ist geschafft.",Erleichterung
"Puh, das war der anspruchsvollste Schritt!",Erleichterung
Das wird fantastisch schmecken!,Freude
"Herzlichen Glückwunsch, das ist wirklich gelungen!",Freude
Füge den Zucker hinzu und vermische alles gut.,Neutral
Ab jetzt geht es entspannt weiter.,Erleichterung
"Das ist kein Problem, du hast alles im Griff.",Beruhigung
"Das ist schon in Ordnung, mach einfach weiter.",Beruhigung
"Das sieht jetzt richtig gut aus, weiter so!",Freude
"Klasse, du bist ein echter Kochprofi!",Freude
"Super, fast fertig!",Freude
"Halte durch, das sieht schon super aus!",Motivation
"Achtung, das Öl könnte spritzen.",Warnung
"Vermeide Überkochen, reduziere die Hitze.",Warnung
"Du bist fast fertig, nur noch wenige Schritte.",Motivation
"Geschafft, das Schwierigste ist erledigt!",Erleichterung
"Nicht aufgeben, du schaffst das!",Motivation
Zum Glück ist der schwerste Schritt vorbei.,Erleichterung
"Das ist schon in Ordnung, mach einfach weiter.",Beruhigung
"Gut gemacht, der schwierigste Teil ist geschafft!",Erleichterung
"Großartig, nur noch ein paar Schritte!",Motivation
Schneide die Zwiebeln fein.,Neutral
Lass das Gericht abkühlen.,Neutral
Hacke die Karotten in kleine Würfel.,Neutral
"Mach dir keine Sorgen, das passt schon.",Beruhigung
"Keine Sorge, das ist alles im Rahmen.",Beruhigung
Ab jetzt geht es entspannt weiter.,Erleichterung
"Herzlichen Glückwunsch, das ist wirklich gelungen!",Freude
Hacke die Karotten in kleine Würfel.,Neutral
Lass das Wasser kochen.,Neutral
"Super, der komplizierteste Part ist geschafft.",Erleichterung
Lass das Gericht abkühlen.,Neutral
"Großartig, nur noch ein paar Schritte!",Motivation
Jetzt nur noch die letzten Schritte.,Erleichterung
"Sei vorsichtig, die Pfanne ist heiß.",Warnung
"Gleich geschafft, weiter so!",Motivation
"Super, fast fertig!",Freude
"Super, der komplizierteste Part ist geschafft.",Erleichterung
Ab jetzt geht es entspannt weiter.,Erleichterung
"Achte darauf, dass das Öl nicht zu heiß wird.",Warnung
"Super, fast fertig!",Freude
"Das ist normal, du machst alles richtig.",Beruhigung
Nur noch ein kleiner Endspurt!,Motivation
"Bleib motiviert, du machst das klasse!",Motivation
Nur noch ein kleiner Endspurt!,Motivation
"Sehr gut, das sieht schon perfekt aus!",Freude
"Herzlichen Glückwunsch, das ist wirklich gelungen!",Freude
"Klasse, du bist ein echter Kochprofi!",Freude
"Keine Sorge, wenn es ein wenig raucht, das ist normal.",Beruhigung
"Ganz entspannt, alles läuft super.",Beruhigung
"Achte darauf, dass das Öl nicht zu heiß wird.",Warnung
"Pass auf, dass es nicht anbrennt.",Warnung
"Großartig, nur noch ein paar Schritte!",Motivation
"Pass auf, dass es nicht anbrennt.",Warnung
"Bleib ruhig, alles läuft wie geplant.",Beruhigung
"Gleich geschafft, weiter so!",Motivation
"Kein Stress, alles sieht gut aus.",Beruhigung
Schütte das heiße Wasser vorsichtig ab.,Warnung
"Gleich geschafft, weiter so!",Motivation
Das wird fantastisch schmecken!,Freude
"Keine Panik, das ist ganz normal.",Beruhigung
"Entspann dich, die kniffligste Stelle ist vorbei.",Erleichterung
Ab jetzt geht es entspannt weiter.,Erleichterung
Das wird fantastisch schmecken!,Freude
"Gut gemacht, der schwierigste Teil ist geschafft!",Erleichterung
Gib die Milch langsam dazu.,Neutral
"Kein Stress, alles sieht gut aus.",Beruhigung
"Es ist fast geschafft, weitermachen!",Motivation
"Einfach spitze, das läuft hervorragend!",Freude
"Pass auf, dass es nicht anbrennt.",Warnung
"Keine Sorge, wenn es ein wenig raucht, das ist normal.",Beruhigung
"Genial, das hast du super hinbekommen!",Freude
"Einfach spitze, das läuft hervorragend!",Freude
Backe das Brot für 30 Minuten.,Neutral
"Pass auf, dass es nicht anbrennt.",Warnung
"Klasse, du bist ein echter Kochprofi!",Freude
"Gleich geschafft, weiter so!",Motivation
"Vorsicht beim Schneiden, das Messer ist scharf.",Warnung
Lass das Gericht abkühlen.,Neutral
"Das ist kein Problem, du hast alles im Griff.",Beruhigung
Ab jetzt geht es entspannt weiter.,Erleichterung
Lass das Gericht abkühlen.,Neutral
"Puh, das war der anspruchsvollste Schritt!",Erleichterung
Gib das Mehl in eine Schüssel.,Neutral
"Bleib dran, das Ergebnis wird es wert sein!",Motivation
"Das sieht jetzt richtig gut aus, weiter so!",Freude
"Bleib motiviert, du machst das klasse!",Motivation
"Das ist normal, du machst alles richtig.",Beruhigung
Jetzt nur noch die letzten Schritte.,Erleichterung
"Bleib motiviert, du machst das klasse!",Motivation
"Achte darauf, dass das Öl nicht zu heiß wird.",Warnung
"Sehr gut, das sieht schon perfekt aus!",Freude
"Nicht aufgeben, du schaffst das!",Motivation
Der aufwändigste Teil ist nun hinter dir.,Erleichterung
Füge den Zucker hinzu und vermische alles gut.,Neutral
Zum Glück ist der schwerste Schritt vorbei.,Erleichterung
"Gib langsam die Brühe hinzu, sonst spritzt es.",Warnung
Lass das Gericht abkühlen.,Neutral
Füge den Zucker hinzu und vermische alles gut.,Neutral
Hacke die Karotten in kleine Würfel.,Neutral
"Das ist normal, du machst alles richtig.",Beruhigung
"Keine Sorge, das ist alles im Rahmen.",Beruhigung
Hacke die Karotten in kleine Würfel.,Neutral
Gib die Milch langsam dazu.,Neutral
"Gut, jetzt wird es einfacher.",Erleichterung
Zum Glück ist der schwerste Schritt vorbei.,Erleichterung
"Mach dir keine Sorgen, das passt schon.",Beruhigung
Schneide die Zwiebeln fein.,Neutral
"Du bist fast fertig, nur noch wenige Schritte.",Motivation
Schütte das heiße Wasser vorsichtig ab.,Warnung
"Gleich geschafft, weiter so!",Motivation
"Berühre die Pfanne nicht, sie ist sehr heiß.",Warnung
Nur noch ein kleiner Endspurt!,Motivation
"Nur noch ein bisschen, es sieht schon toll aus!",Motivation
"Es ist fast geschafft, weitermachen!",Motivation
Rühre die Suppe gelegentlich um.,Neutral
"Super, fast fertig!",Freude
"Perfekt, das hast du toll gemacht!",Freude
