instruction;Emotion
Mach dir keine Sorgen, das passt schon.;Beruhigung
Halte durch, das sieht schon super aus!;Motivation
Sei vorsichtig, die Pfanne ist heiß.;Warnung
Herzlichen Glückwunsch, das ist wirklich gelungen!;Freude
Nicht aufgeben, du schaffst das!;Motivation
Super, der komplizierteste Part ist geschafft.;Erleichterung
Ab jetzt geht es entspannt weiter.;Erleichterung
Du machst das großartig!;Freude
Genial, das hast du super hinbekommen!;Motivation
Großartig, nur noch ein paar Schritte!;Motivation
Bleib dran, das Ergebnis wird es wert sein!;Motivation
Es ist fast geschafft, weitermachen!;Motivation
Schneide die Zwiebeln fein.;Neutral
Das ist schon in Ordnung, mach einfach weiter.;Beruhigung
Achte darauf, dass das Öl nicht zu heiß wird.;Warnung
Zum Glück ist der schwerste Schritt vorbei.;Erleichterung
Puh, das war der anspruchsvollste Schritt!;Erleichterung
Jetzt nur noch die letzten Schritte.;Motivation
Das wird fantastisch schmecken!;Freude
Füge den Zucker hinzu und vermische alles gut.;Neutral
Das ist kein Problem, du hast alles im Griff.;Beruhigung
Das sieht jetzt richtig gut aus, weiter so!;Freude
Klasse, du bist ein echter Kochprofi!;Freude
Super, fast fertig!;Motivation
Achtung, das Öl könnte spritzen.;Warnung
Vermeide Überkochen, reduziere die Hitze.;Warnung
Du bist fast fertig, nur noch wenige Schritte.;Motivation
Geschafft, das Schwierigste ist erledigt!;Beruhigung
Gut gemacht, der schwierigste Teil ist geschafft!;Beruhigung
Keine Sorge, das ist alles im Rahmen.;Beruhigung
Lass das Wasser kochen.;Neutral
Gleich geschafft, weiter so!;Motivation
Das ist normal, du machst alles richtig.;Beruhigung
Nur noch ein kleiner Endspurt!;Motivation
Bleib motiviert, du machst das klasse!;Motivation
Sehr gut, das sieht schon perfekt aus!;Freude
Keine Sorge, wenn es ein wenig raucht, das ist normal.;Beruhigung
Ganz entspannt, alles läuft super.;Beruhigung
Pass auf, dass es nicht anbrennt.;Warnung
Bleib ruhig, alles läuft wie geplant.;Beruhigung
Kein Stress, alles sieht gut aus.;Beruhigung
Schütte das heiße Wasser vorsichtig ab.;Warnung
Keine Panik, das ist ganz normal.;Beruhigung
Entspann dich, die kniffligste Stelle ist vorbei.;Beruhigung
Gib die Milch langsam dazu.;Neutral
Einfach spitze, das läuft hervorragend!;Freude
Backe das Brot für 30 Minuten.;Neutral
Vorsicht beim Schneiden, das Messer ist scharf.;Warnung
Gib das Mehl in eine Schüssel.;Neutral
Der aufwändigste Teil ist nun hinter dir.;Beruhigung
Gib langsam die Brühe hinzu, sonst spritzt es.;Warnung
Gut, jetzt wird es einfacher.;Beruhigung
Berühre die Pfanne nicht, sie ist sehr heiß.;Warnung
Nur noch ein bisschen, es sieht schon toll aus!;Motivation
Rühre die Suppe gelegentlich um.;Neutral
Perfekt, das hast du toll gemacht!;Freude
Füge die Butter hinzu und rühre um.;Neutral
Pass auf, die Soße kann spritzen.;Warnung
Zuerst die Zwiebel würfeln und den Knoblauch reiben.;Neutral
Öl, Butter, Zwiebel und Knoblauch in eine große Pfanne geben. ;Neutral
Wenn das Wasser zu schnell verdampft, muss man jedes Mal ca. 50 ml nachgießen.;Warnung
Den Backofen auf 220°C vorheizen.;Info
Einen großen Topf mit Wasser füllen, Salz hinzufügen und zum Kochen bringen.;Neutral
Dabei darauf achten, dass die Fleischstücke nicht auseinanderfallen.;Info
Mit Salz und Pfeffer würzen und ca. 3–5 Min. weiterbraten.;Neutral
Mit Rotwein ablöschen, den Alkohol einkochen lassen und dann Gemüsebrühe, Sojasauce, Senf, Kakaopulver und Thymian hinzufügen.;Neutral
Gut umrühren und aufkochen lassen, bis die Soße eindickt.;Info
Im vorgeheizten Backofen ca. 30–35 Min. backen, bis der Kohl auf der Oberseite viele dunkle Stellen hat.;Info
Aus dem Ofen nehmen und servieren!;Freude
Petersilie fein hacken und Staudensellerie würfeln.;Neutral
 Währenddessen Speck separat in einer Pfanne knusprig anbraten.;Info
Mit gehackter Petersilie und etwas Schmand garnieren.;Neutral
Servieren sie alles mit dem knusprigen Brot zusammen.;Freude
Mehl, Backpulver, Zucker und Salz vorab in einem großen Messbecher mischen und beiseitestellen.;Info
Die Eier und die Milch in einem kleinen Messbecher verquirlen.;Neutral
Dann die geschmolzene Butter einrühren.;Neutral
Rühren Sie, bis sich alles gerade verbunden hat – der Teig sollte ein wenig klumpig sein.;Info
Wenn sich an der Oberfläche Bläschen bilden, den Pfannkuchen wenden und weitere 1–2 Min. backen.;Info
Mehr Butter verwenden, um ein Festkleben oder Anbrennen zu verhindern.;Info
Achtung beim Ausrollen, der Teig klebt schnell fest.;Warnung
Auf einen Teller geben und mit Butter und Ahornsirup genießen.;Freude
Die getrockneten Kichererbsen und das Backpulver in eine große Schüssel geben und mit Wasser bedecken.;Neutral
Über Nacht ca. 18 Stunden einweichen lassen, oder noch länger, wenn die Kichererbsen noch zu hart sind.;Info
Anschließend die Kichererbsen gut abtropfen lassen und trocken tupfen.;Neutral
Die Chili fein hacken.;Neutral
Alles mit einem Stabmixer zerkleinern bis alles gut vermischt ist.;Neutral
Alles mindestens 1 Stunde lang ruhen lassen.;Info
Kurz vor dem Frittieren die Mischung mit angefeuchteten Händen oder einem Eisportionierer zu kleinen Patties formen.;Info
Die Falafel-Patties in dem Öl ca. 4–6 Min. frittieren, bis sie außen knusprig und goldbraun sind.;Info
Die gebratenen Falafel-Patties auf Küchenpapier abtropfen lassen.;Neutral
Minzblätter grob hacken, Gurke in Scheiben schneiden und Tomaten grob würfeln.;Neutral
Guten Appetit!;Freude
Backofen auf 170°C vorheizen.;Info
Auflaufform zuerst mit der Schnittseite des Knoblauchs und anschließend mit Butter einreiben.;Neutral
Dann die Kartoffeln in die Auflaufform schichten.;Neutral
Nun die Sahne hinzugeben und mit Muskatnuss, Salz und Pfeffer abschmecken.;Neutral
Die Sahne gleichmäßig über die Kartoffeln gießen.;Neutral
Vor dem Servieren ca. 5 Min. abkühlen lassen.;Info
Den Cheddar-Käse mit einer Küchenmaschine oder Reibe zerkleinern und beiseitestellen.;Neutral
In einem großen Topf bei mittlerer Hitze die Butter zerlassen.;Neutral
Unter ständigem Rühren ca. 2 Min. kochen, bis die Mischung eingedickt ist und eine leicht goldene Farbe angenommen hat.;Info
Noch warm genießen;Freude
Die Masse ca. 15 Min. lang ruhen lassen.;Info
Mit hausgemachter Marmelade oder Puderzucker schmecken sie am Besten.;Freude
Bringe die Kartoffeln samt Schale in gut gesalzenem Wasser zum Kochen.;Neutral
In der Zwischenzeit den Lauch in ca. 1 cm dicke Scheiben schneiden und anschließend waschen.;Neutral
Gib etwas Öl in eine Pfanne und brate den Lauch auf mittlerer bis hoher Hitze an und würze ihn mit Thymian und etwas Salz und Pfeffer.;Neutral
Den Ofen schonmal auf 210°C Umluft vorheizen.;Info
Die fertig gekochten Kartoffeln in eine Tarteform geben und entweder mit einem Kartoffelstampfer oder dem Boden des Topfes zerdrücken.;Neutral
Die Masse sollte gut platz haben.;Info
Zuletzt die Zwiebeln schälen, halbieren und in circa 0,5 cm dicke Halbringe schneiden.;Neutral
